tic_id,toi,ra,dec,period,depth_ppm,duration_hr,epoch_bjd,stellar_Teff,stellar_logg,stellar_rad,stellar_mass,tess_mag,planet_rad_earth,planet_snr,tfop_disposition,label,sectors
270341214,173.01,33.458853,-80.582711,29.753745141383,6350.8299407454,8.0780445040627,2458333.410136,6409.0,4.20097,1.46862995624542,1.41,8.8784,11.986897642935,128.69139,PC,0,"1,13,27,28,39,66,67,68"
270341214,173.02,33.458853,-80.582711,9.1702264767314,305.98356769352,5.6855841906764,2458329.295582,6409.0,4.20097,1.46862995624542,1.41,8.8784,2.63177542874414,10.224759,PC,0,"1,13,27,28,39,66,68"
425997655,174.01,55.459031,-62.767267,17.667173473429,754.5192275496,2.6658994396147,2460957.73363,4813.0,4.38,0.69,0.78,8.7513,1.921343472017504,116.64054389501,CP,0,"1,2,3,4,11,29,30,31,34,64,68,69,95,96,97"
425997655,174.02,55.459031,-62.767267,29.797538628778,614.45823945447,2.7293182899856,2460932.688545,4813.0,4.38,0.69,0.78,8.7513,1.6024894851116034,65.362812399393,CP,0,"1,2,3,4,11,29,30,31,34,64,68,69,95,96,97"
425997655,174.03,55.459031,-62.767267,12.162304641896,265.01323574959,2.5132045137684,2460987.123543,4813.0,4.38,0.69,0.78,8.7513,1.063623683442264,27.290870301903,CP,0,"1,2,3,4,11,29,30,31,34,64,68,69,95,96,97"
425997655,174.04,55.459031,-62.767267,3.9766833,142.0,1.859,2460203.017928,4813.0,4.38,0.69,0.78,8.7513,0.757588,9.0,CP,0,"1,2,3,4,11,29,30,31,34,64,68,69"
425997655,174.05,55.459031,-62.767267,7.9076300606288,212.41773684698,2.6394558388388,2460987.803312,4813.0,4.38,0.69,0.78,8.7513,0.9290559398927994,33.954730575486,CP,0,"1,2,3,4,11,29,30,31,34,64,68,69,95,96,97"
307210830,175.01,124.53286,-68.314466,3.6906758578022,1657.0,1.107,2460688.70837,3469.0,4.9401,0.31,0.292836,9.41242,1.36751,80.0,CP,0,"2,5,8,9,10,11,12,28,29,32,35,36,37,38,39,61,62,63,64,65,69,87"
307210830,175.02,124.53286,-68.314466,7.4507305,1542.0,0.475,2460039.154503,3469.0,4.9401,0.31,0.292836,9.41242,3.04528,40.0,CP,0,"2,5,8,9,10,11,12,28,29,32,35,36,37,38,39,61,62,63"
307210830,175.03,124.53286,-68.314466,2.2531061617493,682.39727233878,0.99398365453732,2458354.907237,3469.0,4.9401,0.31415998935699463,0.292836,9.41242,0.8266350041824014,43.44456,CP,0,"2,5,8,9,10,11,12,28,29,32,35,36,37,38,39,61,62,63,64,65,69"
272086159,176.01,115.003473,-72.205678,16.155373,71225.723174,1.556705,2458649.291373,3270.0,4.98242,0.271,0.302101,13.4004,10.424281,49.630848,FP,3,"2,3,4,5,6,12"
262530407,177.01,20.438428,-46.714723,2.8531016,1547.1068926532,1.263753039446,2460204.963281,3703.0,4.76229,0.52,0.515356,9.49275,2.106047592282763,30.282522,CP,0,"2,3,29,69,96"
251848941,178.01,7.302011,-30.454116,6.5578513,1596.0,2.08,2460196.437088,4111.0,4.55528,0.66,0.68,10.42,2.54474,18.0,CP,0,"2,29,69"
251848941,178.02,7.302011,-30.454116,20.708504,1657.067907,2.236524,2458354.55219,4111.0,4.55528,0.701202,0.68,10.42,3.751004,9.537692,CP,0,2
251848941,178.03,7.302011,-30.454116,9.961634689233,1084.4327061597,2.464805194329,2458362.954199,4111.0,4.55528,0.660806000232697,0.68,10.42,2.28073266410272,11.135912,CP,0,"2,29,69"
